gene_pair	A549	HT29	OVCAR8
FNIP1_FNIP2	0.848	0.239	0.007
FXR1_FXR2	-0.122	1.236	0.581
G3BP1_G3BP2	-1.249	-1.527	-0.758
GABARAP_GABARAPL2	0.150	-0.055	0.396
GANAB_GANC	-0.212	0.356	1.007
GFOD1_GFOD2	-0.462	-0.380	1.096
GGA2_GGA1	-0.944	-0.219	-0.203
GGA3_GGA1	-0.732	-0.134	0.320
GIGYF1_GIGYF2	-0.647	-0.824	0.435
GIT1_GIT2	-2.842	-1.676	-2.819
GLB1_GLB1L	0.728	0.710	0.427
GNA12_GNA13	-0.035	-0.213	-0.523
GNG10_GNG5	1.090	0.642	0.113
GNPDA1_GNPDA2	1.139	0.454	0.662
GOLPH3_GOLPH3L	-0.762	0.669	0.895
GON4L_YY1AP1	-0.206	-1.723	-1.153
GOT1_GOT2	-0.623	-1.407	-0.859
GPR107_GPR108	1.994	0.574	1.791
GRK2_GRK3	-0.427	-0.235	0.794
GRK4_GRK6	1.967	0.969	1.303
GSK3A_GSK3B	-4.152	-7.346	-4.900
GTF2H2_GTF2H2C	0.357	-0.336	2.597
HDAC1_HDAC2	-1.968	-5.262	-6.312
HDAC4_HDAC5	-0.623	0.784	0.150
HERC3_HERC4	-0.680	-0.766	-0.058
HEXA_HEXB	0.646	0.421	0.446
HINT1_HINT2	0.172	0.152	-0.282
HIPK1_HIPK3	0.992	0.647	1.460
HIST1H4H_HIST4H4	-0.062	0.184	0.797
HIST2H2BE_HIST2H2BF	0.183	-0.535	0.855
HMG20A_HMG20B	0.880	0.528	0.343
HNRNPF_HNRNPH3	-0.397	0.187	0.446
HSP90AA1_HSP90AB1	-5.279	-6.144	-3.424
IFRD1_IFRD2	1.945	1.402	-0.198
ING4_ING5	-1.804	-1.063	-0.629
IP6K1_IP6K2	0.270	0.173	0.080
IQGAP1_IQGAP3	-0.871	0.579	-0.251
IRF2BP1_IRF2BPL	-0.389	0.383	-0.847
ITSN1_ITSN2	-0.476	-0.467	1.032
JAK1_TYK2	-0.849	-0.298	0.231
JOSD1_JOSD2	0.583	0.642	0.581
JRKL_TIGD2	0.409	0.977	1.572
KAT6A_KAT6B	0.224	0.931	-0.349
KATNA1_KATNAL1	-0.410	0.356	-0.623
KBTBD6_KBTBD7	0.641	0.716	1.203
KCTD17_KCTD2	1.479	0.560	0.937
KCTD5_KCTD2	0.850	0.179	0.155
KDELR1_KDELR2	-5.360	-3.237	-3.976
KDM5A_KDM5B	0.559	1.081	1.651
KIF3A_KIF3B	-0.566	0.250	1.415
KLC1_KLC4	-1.159	-1.570	-0.777
KLHL17_KLHL20	-0.492	0.302	-0.220
KYAT1_KYAT3	-1.336	-0.230	-0.657
L3MBTL2_MBTD1	-0.168	0.402	0.175
LATS1_LATS2	1.547	1.626	1.656
LIN7B_LIN7C	0.170	-0.745	-0.447
LMAN2_LMAN2L	0.543	0.484	-0.304
LMBR1_LMBR1L	0.826	0.544	0.494
LMNB1_LMNB2	0.875	0.822	-0.030
LPIN1_LPIN2	-0.078	-0.336	0.668
LRBA_NBEA	0.183	-0.371	0.267
LSM14A_LSM14B	0.632	0.321	0.385
MAFG_MAFK	-1.470	-1.725	-2.603
MAP2K1_MAP2K2	1.074	0.822	-1.856
MAP3K11_MAP3K10	-0.329	0.438	0.262
MAP3K2_MAP3K3	0.521	0.171	0.570
MAP3K9_MAP3K10	-0.773	-0.145	-0.388
MAPK1_MAPK3	-3.749	-5.951	-5.222
MAPK11_MAPK12	-0.051	0.479	1.205
MAPK8IP3_SPAG9	-0.993	-0.355	0.194
MAPKAPK2_MAPKAPK3	-0.255	-0.328	0.892
MARK3_MARK4	-0.634	-0.960	-0.304
MBD2_MBD3	0.020	-0.216	0.281
MED13_MED13L	-0.626	-0.952	0.032
MEF2A_MEF2D	-0.076	1.560	1.007
METTL2A_METTL2B	1.033	-0.554	0.413
MEX3C_MEX3B	0.243	0.062	-0.523
MEX3D_MEX3B	-0.163	-0.412	-0.102
MFAP3_MFAP3L	0.170	0.182	0.228
MFSD14A_MFSD14B	1.403	0.746	1.144
MKNK1_MKNK2	1.425	-0.952	-0.338
MOAP1_PNMA1	-1.325	-0.401	-0.730
MOB1B_MOB3A	-0.182	0.312	0.043
MPP2_MPP6	0.782	0.511	1.242
MPST_TST	0.012	-0.129	0.194
MRFAP1_MRFAP1L1	0.801	0.329	0.640
MTHFD2_MTHFD2L	0.861	0.274	0.278
MTMR3_MTMR4	-1.761	-1.791	-2.811
MYL12A_MYL12B	-1.647	-0.581	-0.035
MYL6_MYL6B	-0.852	-0.295	0.502
MZT2A_MZT2B	-0.182	0.231	0.892
NACC1_NACC2	0.327	0.528	0.396
NAP1L1_NAP1L4	-1.254	0.566	-2.455
NDFIP1_NDFIP2	-0.168	-0.480	-1.010
NFIA_NFIC	0.268	-0.243	0.682
NIPSNAP1_NIPSNAP2	1.610	0.519	0.875
NKIRAS1_NKIRAS2	0.774	0.895	-0.027
NLN_THOP1	0.153	0.571	0.318
NME1_NME2	-0.302	0.549	-0.032
NOTCH1_NOTCH2	1.637	0.947	0.670
NR1D1_NR1D2	0.199	0.160	-0.332
NR2C1_NR2C2	0.101	-0.949	-1.046
NT5DC2_NT5DC3	0.292	0.506	-0.251
NUCB1_NUCB2	0.714	0.767	0.138
NUMB_NUMBL	-0.092	-0.554	0.343
OAZ1_OAZ2	1.172	0.032	-0.800
ORMDL1_ORMDL3	-0.462	-0.061	0.855
ORMDL2_ORMDL3	-0.010	0.059	-0.150
OSBPL3_OSBPL7	0.671	1.830	1.021
PABPC1L_PABPC4	0.303	-0.001	-0.548
PACS1_PACS2	0.578	0.130	1.012
PACSIN2_PACSIN3	0.747	0.138	0.141
PAFAH1B2_PAFAH1B3	-0.351	0.285	0.844
PANK1_PANK3	1.231	0.258	1.690
PANK2_PANK3	0.387	0.119	0.942
PAPOLA_PAPOLG	-1.987	-4.946	-4.516
PBX3_PBX2	-0.116	-0.104	0.035
PBX4_PBX2	0.360	0.697	0.785
PCMTD1_PCMTD2	0.513	0.465	0.651
PCNX1_PCNX3	-0.119	-0.181	-0.595
PDIK1L_STK35	0.082	1.059	0.668
PHLPP1_PHLPP2	-0.203	0.661	-0.083
PHTF1_PHTF2	1.613	0.618	0.600
PIP5K1A_PIP5K1C	-1.932	-0.998	-2.592
PITPNA_PITPNB	-5.004	-3.692	-6.460
PITPNM1_PITPNM2	0.254	-0.627	0.004
PKN1_PKN3	0.129	1.274	1.455
PKN2_PKN3	-0.182	0.152	-0.016
PLCD1_PLCD4	0.545	1.315	1.298
PLEKHF1_PLEKHF2	1.188	0.751	0.693
PPARA_PPARD	0.910	1.408	1.071
PPIP5K1_PPIP5K2	0.630	0.844	0.315
PPM1A_PPM1B	1.215	-0.747	0.012
PPP1CC_PPP2CB	1.599	1.838	1.116
PPP3CA_PPP3CB	-0.070	0.852	1.029
PPP3CC_PPP3CB	0.951	1.350	1.645
PRDX1_PRDX3	-0.367	0.473	0.340
PRKACA_PRKACB	-0.329	0.628	0.281
PRKAG1_PRKAG2	-0.073	0.487	1.099
PRPSAP1_PRPSAP2	0.932	1.307	0.567
PSEN1_PSEN2	-0.217	-0.638	0.245
PTP4A1_PTP4A2	-5.374	-6.095	-3.220
PUM1_PUM2	-0.288	-1.031	-0.615
PURA_PURB	0.159	0.934	0.645
PYCR1_PYCR2	-0.176	-3.011	0.581
R3HDM1_R3HDM2	1.242	0.819	0.362
RAB40B_RAB40C	0.273	0.359	0.259
RABL2A_RABL2B	1.539	1.784	1.189
RAD23A_RAD23B	0.039	0.056	-0.640
RALGAPA1_RALGAPA2	0.186	-1.093	-0.178
RALGPS1_RALGPS2	-1.532	-0.456	-0.173
RANBP10_RANBP9	0.178	-0.265	-0.621
RAPGEF2_RAPGEF6	0.600	0.040	0.354
RARA_RARG	1.572	-0.023	0.783
RBL1_RBL2	-0.269	-0.715	-0.805
RBM4_RBM4B	1.027	0.721	0.250
RBMS1_RBMS2	-0.258	0.220	0.556
RC3H1_RC3H2	-0.492	-1.055	-1.875
RCBTB1_RCBTB2	1.218	0.947	0.491
RFX1_RFX2	-0.498	0.601	0.430
RHOC_RHOG	-0.694	0.383	-0.441
RIC8A_RIC8B	1.302	1.222	0.589
RING1_RNF2	1.730	-0.094	-1.354
RNF122_RNF24	0.643	0.544	-0.144
RNF185_RNF5	0.684	0.579	0.937
RNF19A_RNF19B	-2.798	-1.333	-2.186
RNF38_RNF44	0.820	0.874	0.729
ROCK1_ROCK2	-1.412	-0.848	-1.433
RPS6KB1_RPS6KB2	-0.881	-0.192	-0.867
RSBN1_RSBN1L	0.668	0.759	0.259
SAFB_SAFB2	-3.958	-3.461	-1.366
SAP30_SAP30L	0.126	0.795	0.892
SAR1A_SAR1B	-4.710	-5.913	-6.774
SBF1_SBF2	0.799	1.293	1.278
SCAMP2_SCAMP3	-1.361	-1.216	-0.898
SCRN2_SCRN3	-0.361	-0.908	-0.797
SEC24A_SEC24B	-1.167	-1.464	-2.802
SEPT11_SEPT8	0.706	-0.434	0.292
SERINC1_SERINC3	0.390	1.508	0.250
SESN1_SESN2	-0.133	-0.358	-1.170
SFXN1_SFXN2	-1.200	0.795	0.953
SGTA_SGTB	0.417	-0.963	0.374
SHMT1_SHMT2	-1.382	-1.646	-0.777
SIPA1L1_SIPA1L3	-0.168	0.018	0.558
SLC12A4_SLC12A6	1.133	0.010	1.085
SLC25A23_SLC25A25	0.662	-0.320	0.141
SLC25A24_SLC25A25	1.313	0.672	0.480
SLC25A33_SLC25A36	0.605	0.702	-0.590
SLC36A1_SLC36A4	1.855	1.468	0.939
SLC41A2_SLC41A1	0.442	0.844	0.290
SLC41A3_SLC41A1	0.995	0.871	0.452
SLC4A2_SLC4A3	-0.917	0.127	0.046
SMAD1_SMAD2	0.850	0.511	1.189
SMAP1_SMAP2	-0.966	-1.148	-0.822
SMARCC1_SMARCC2	-0.881	-0.497	-0.032
SMARCD1_SMARCD2	-0.302	-0.246	-0.170
SMURF1_SMURF2	0.033	0.419	0.640
SNTA1_SNTB2	-0.037	0.127	-0.287
SNX1_SNX2	0.850	0.838	0.533
SNX5_SNX6	1.155	0.010	0.376
SOCS4_SOCS5	0.254	0.811	0.094
SPOP_SPOPL	0.074	1.138	1.368
SPRED1_SPRED2	0.333	1.222	0.449
SRSF4_SRSF5	0.281	0.040	0.853
SS18_SS18L1	0.954	0.795	-0.027
STAM_STAM2	-0.086	-0.445	0.374
STAT1_STAT3	-0.503	-0.102	-0.032
STK17A_STK17B	0.412	0.748	0.634
STK38_STK38L	1.471	0.944	1.536
STX10_STX6	-1.916	-1.115	-1.377
STX12_STX7	-0.201	-0.431	-0.013
SUCLA2_SUCLG2	-0.016	-0.260	0.122
SYNGR2_SYNGR3	0.671	-0.042	0.732
TBC1D15_TBC1D17	1.760	1.582	0.724
TBC1D22A_TBC1D22B	-0.715	-0.565	-0.665
TCF12_TCF3	-0.990	0.184	-0.640
TESK1_TESK2	-0.190	1.078	0.945
TFCP2_UBP1	-1.072	-0.529	-0.293
TIA1_TIAL1	-3.800	-8.299	-8.194
TMED1_TMED5	0.156	0.351	0.080
TMED3_TMED7	1.427	0.566	1.250
TMED4_TMED9	-0.879	-1.728	-1.391
TMEM14A_TMEM14C	-0.351	0.789	0.178
TMEM14B_TMEM14C	1.850	1.555	1.029
TMEM170A_TMEM170B	1.365	1.331	0.236
TMEM39A_TMEM39B	0.382	-0.091	0.634
TMEM50A_TMEM50B	-0.005	0.054	0.418
TMEM63A_TMEM63B	-0.005	0.680	-0.579
TMEM87A_TMEM87B	1.496	0.184	0.550
TNKS_TNKS2	-0.721	-0.104	-1.158
TNPO1_TNPO2	1.044	-0.649	-1.620
TOB1_TOB2	0.265	0.634	0.197
TOM1_TOM1L2	0.170	0.705	0.755
TOR1A_TOR1B	-2.194	-2.145	-2.052
TPM3_TPM4	-0.312	0.495	0.119
TRAK1_TRAK2	1.321	1.339	0.595
TRIM24_TRIM33	0.344	-0.576	-0.707
TRIM34_TRIM5	-0.263	0.201	0.012
TSPAN14_TSPAN17	0.766	-0.396	-0.013
TSPYL1_TSPYL4	0.003	1.070	0.452
TTC30A_TTC30B	2.419	2.241	1.911
UBALD1_UBALD2	0.703	0.272	0.029
UBAP2_UBAP2L	0.140	-0.510	0.060
UBE2V1_UBE2V2	-2.521	-2.641	-1.774
UBR1_UBR2	-0.076	0.539	0.315
UBTD1_UBTD2	0.649	0.634	0.701
UCK1_UCK2	-0.683	-0.598	-0.794
UGGT1_UGGT2	-0.903	-1.208	-0.917
ULK1_ULK2	0.058	0.054	0.116
UNC119_UNC119B	1.449	1.195	0.483
UNK_UNKL	-0.122	0.222	0.612
USP12_USP46	-0.664	0.195	1.443
USP15_USP4	0.423	-0.238	-0.189
USP20_USP33	-0.370	0.683	-0.917
USP25_USP28	1.487	1.737	1.379
VAMP1_VAMP2	-0.920	-0.647	-0.444
VDAC2_VDAC3	0.268	0.405	-0.321
WASF1_WASF2	-0.100	0.413	-0.332
WDFY1_WDFY2	-0.525	0.010	-0.363
YIF1A_YIF1B	-1.589	0.688	-2.139
YIPF1_YIPF2	0.104	1.519	2.085
ZDHHC14_ZDHHC18	-0.435	0.318	-0.377
ZDHHC3_ZDHHC7	1.221	1.151	0.362
ZDHHC5_ZDHHC8	1.945	1.353	1.161
ZFAND2A_ZFAND2B	1.005	1.389	0.374
ZKSCAN1_ZKSCAN8	-0.046	-0.132	-0.111
ZKSCAN2_ZSCAN29	0.763	0.024	0.511
ZKSCAN3_ZKSCAN4	-0.470	-0.499	-0.341
ZMIZ1_ZMIZ2	-0.710	-0.611	1.222
ZNF133_ZNF169	-0.824	-0.423	-0.245
ZNF136_ZNF627	1.136	0.781	0.718
ZNF143_ZNF76	1.275	-2.545	-1.010
ZNF181_ZNF302	1.166	0.321	0.348
ZNF26_ZNF268	2.122	1.808	1.511
ZNF286A_ZNF286B	1.264	0.563	-0.066
ZNF324_ZNF324B	-0.201	1.688	0.474
ZNF354A_ZNF354B	-0.067	0.220	0.402
ZNF419_ZNF773	-0.443	-0.325	-0.066
ZNF524_ZNF581	0.134	1.004	0.452
ZNF552_ZNF587B	-0.321	-0.578	0.416
ZNF555_ZNF77	0.284	1.394	0.981
ZNF557_ZNF558	0.085	0.416	0.570
ZNF561_ZNF562	0.036	-0.203	-0.170
ZNF580_ZNF581	0.447	0.443	1.071
ZNF600_ZNF611	1.003	0.560	0.519
ZNF619_ZNF620	0.284	-0.102	0.172
ZNF747_ZNF764	1.460	0.716	0.931
ZNF785_ZNF764	0.521	0.533	0.623
ZSCAN21_ZSCAN30	0.344	0.252	0.340
ZSWIM4_ZSWIM6	0.025	-0.813	-0.105
SMARCA2_SMARCA4	0.126	-0.687	0.581
CDH1_CDH3	-0.086	-0.617	-0.108
ME2_ME3	0.624	0.596	1.046
BCL2L1_MCL1	0.935	-1.995	-1.615
BRCA1_PARP1	0.902	0.165	-0.609
